Gemini,Gpt,Llama,Core,GeminiContent,GptContent,LlamaContent,Tweet
Negative,Negative,Negative,Negative,"**-1** 

The tweet expresses strong negative sentiment. The user is very disappointed with the product, stating it's a ""total disappointment"" because it doesn't produce the expected amount of foam. They even returned the product within the same week, highlighting their dissatisfaction. The tweet also compares the product unfavorably to others, further reinforcing the negative sentiment. 
","-1
The sentiment of the tweet is negative. The user expresses disappointment with the product, stating that despite purchasing it with great care, it turned out to be a letdown. Additionally, they mention that the foam produced by the product is minimal. They ultimately returned the product and found other products on the market that performed much better, at a lower price point.","**-1**

The sentiment of this tweet is negative. The user starts by mentioning that they purchased the product enthusiastically and carefully, but then expresses disappointment and frustration with the product's performance. They state that the product comes with only 1.5 cup measurements, despite claiming to have 3 cup measurements, which is a significant drawback. They also returned the product and compare it unfavorably to other similar products they use, implying that this one is inferior. The tone is critical and complaining, indicating a negative sentiment.",Ürünü çok severek ve ozenerek aldim.Lakin tam bir hayal kırıklığı  3 fincan ölçüye  1.5 fincan çıkarıyor köpük sifir  Aynı hafta icinde iade ettim.Piyadaki üçüz ürünler bunun yaninda süper köpük yapıyor kullandigim makine 100 tl luk
Positive,Positive,Positive,Positive,"**+1** The tweet expresses positive sentiment. The user praises the product for being not only affordable but also of good quality, highlighting its ability to create a ""long and full"" appearance. The phrase ""tavsiye ederim"" (I recommend) further reinforces the positive sentiment. 
","+1
This tweet has a positive sentiment as the writer is recommending the product for its quality and appearance. The use of words like ""kaliteli"" (quality) and ""tavsiye ederim"" (I recommend) indicate a positive opinion.","**+1**

The sentiment of this tweet is positive because the user is expressing their recommendation and admiration for the product, stating that it is ""kali te"" (quality) and provides a ""uzun ve dolgun görünüm"" (long and full appearance). The user also explicitly states ""tavsiye ederim"" (I recommend), which reinforces the positive sentiment.","sadece fiyatına göre değil genel ojavascript:__dopostback(btnsend,)larak ta oldukça kaliteli. uzun ve dolgun görünüm sağlıyor. tavsiye ederim."
Negative,Negative,Negative,Positive,"**-1** 

The tweet expresses dissatisfaction with the film, criticizing its story and accusing Americans of blaming others. The use of ""..."" at the end suggests frustration and negativity. 
","-1
The sentiment of the tweet is negative because the author criticizes the film for having many flaws and for unfairly blaming others for the faults.","**-1**

The sentiment of the tweet is negative. The author expresses disappointment with the film, stating that it has many flaws and criticizing the Americans for focusing on blaming others instead of taking responsibility for their own mistakes. The use of ""aklı"" (which means ""wise"" or ""sensible"") and ""suçu"" (which means ""fault"" or ""guilt"") also gives a negative tone to the tweet.", aslında iyi bir film hikaye olarak ama eleştirilecek çok yanı var amerikalılar suçu sadece başkalrına atmışlar..... 
Negative,Negative,Negative,Negative,"**-1** 

The tweet expresses frustration and disappointment due to missing parts in a liquid detergent apparatus. The phrases ""yoktu"" (didn't exist) and ""eksik çıktı"" (came out incomplete) indicate a negative experience. 
","-1

The tweet expresses a negative sentiment as the lack of liquid detergent dispenser caused a shortage of materials. The user seems frustrated or disappointed by this issue.","**-1**

The sentiment of this tweet is negative. The phrase ""sıvı deterjan aparatı yoktu"" (there was no liquid detergent apparatus) implies a lack or absence of something, setting a negative tone. Additionally, ""malzeme eksik cıktı"" (material shortage) reinforces the negative sentiment, suggesting that there was an unsatisfactory situation. Overall, the tweet expresses frustration or disappointment with the outcome.","Sıvı deterjan aparatı yoktu, malzeme eksik cıktı"
Positive,Positive,Positive,Positive,"**+1**

The tweet expresses strong positive sentiment. The user highlights the product's ""usefulness"" and ""functionality,"" stating they are ""very satisfied."" They also emphasize the good value for money by mentioning the product is ""very cheap for its quality."" 
","+1
The sentiment of the tweet is positive. The user expresses satisfaction with the product, mentioning that it is very useful and functional, and also recommends it to others. Additionally, the user notes that the product is very cheap for its quality. Overall, the sentiment conveyed is highly positive.","**Score: +1**

The sentiment of the tweet is overwhelmingly positive. The phrases ""çok memnun kaldım"" (I'm very satisfied) and ""tavsiye ederim"" (I recommend) indicate a high level of customer satisfaction and enthusiasm. The comparison of the product's quality to its price, ""kalitesine göre çok ucuz"", suggests that the user believes the product is a great value, which reinforces the positive sentiment. Overall, the tone of the tweet is upbeat and encouraging, indicating that the user is happy and would recommend the product to others.",ürün çok kullanışlı ve fonksiyonel çok memnun kaldım. tavsiye ederim kalitesine göre çok ucuz.
Notr,Notr,Notr,Notr,"**0** 

The tweet states a fact about someone studying at Istanbul Bilgi University. There are no emotional cues or opinions expressed, making the sentiment neutral. 
","0 
This tweet is neutral as it simply states a fact without expressing any positive or negative emotions.","**0**

This tweet is neutral, as it simply states a factual information about someone studying at İstanbul Bilgi Üniversitesi without expressing any emotions or opinions. The sentence is straightforward and lacks any sentiment-inducing words or phrases, making it a neutral expression.",Aynı zamanda İstanbul Bilgi Üniversitesinde okumaktadır .
Positive,Notr,Positive,Positive,"**+1** 

The tweet expresses overwhelmingly positive sentiment. The user praises the phone's camera, battery life, processing speed, and overall simplicity. They specifically highlight the excellent HDR mode and the phone's compatibility with Google services, making it an attractive choice for students. 
","0
The sentiment of the tweet is neutral. The user is providing a detailed review of the phone's features and performance without expressing any strong positive or negative emotions. The overall tone is informative and recommendation-based.","**+1**

The sentiment of this tweet is overwhelmingly positive. The speaker is praising the phone's camera, battery life, processing speed, and overall performance. They specifically highlight the front and rear cameras, HDR mode, and long battery life, stating that it can last up to 2.5 days with normal use. They also mention that the phone is ""saf"" and ""sade"" (meaning simple and clean), implying that it is reliable and easy to use. The speaker even recommends the phone to others who can use Android well, further emphasizing their satisfaction with the device. The tone is enthusiastic and recommends the phone, thus earning a positive sentiment score of **+1**.","telefon cok iyi kamerasına değineyim , ön kamera çok iyi arka kamerada çok iyi hdr modu süper şarjı bir öğrenciye 1.5 gün gider (internet açıkken) normal kullanımda 2-2.5 gün rahat gidiyor , işlemcisi google ile uyumlu oldugundan çok seri bi telefon, androidi iyi kullanabilenlrin almasını tavsiye ederim saf ve sade bir telefon "
Notr,Positive,Notr,Negative,"**0** 

The tweet is neutral. While the user mentions enjoying the film and finding it funny, they don't express strong positive or negative feelings. The phrase ""güzel seyirlik sunabilir size"" (can offer a good watch for you) suggests a neutral recommendation rather than strong enthusiasm. 
","+1
The tweet expresses a positive sentiment towards the film, describing it as funny and not taking itself seriously. The user suggests that it would be enjoyable to watch with friends.","**0**

The sentiment of this tweet is neutral. The tweet mentions that the film is comedic and doesn't take itself seriously, which implies a lighthearted and humorous tone. The phrase ""güzel seyirlik sunabilir size"" also suggests that the film can be enjoyed with friends, which has a positive connotation. However, there is no overtly positive or negative language used, so the overall sentiment is neutral.", Filmden aklıma kalan tek sahne sonu ı sahneler gerçekten komik zaten film kendini hiç ciddiye almıyor bir grup arkadaşla güzel seyirlik sunabilir size .. 
Positive,Positive,Positive,Positive,"**+1** 

The tweet expresses positive sentiment. The user clearly liked the product and recommends it to others.  They mention both personal satisfaction (""çok beğendim"") and positive feedback from others (""herkesten olumlu tepki aldım""). They even bought it for a friend upon request, further reinforcing their positive experience. 
","+1
The sentiment of the tweet is positive. The user shares their positive experience with a product they bought after researching it and receiving positive feedback from others. They even recommend the product to a friend.","**+1**

The sentiment of this tweet is positive. The user mentions that they ""çok beğendim"" which means they ""really liked"" the product. They also mention that they got positive feedback from everyone they showed it to, and a friend even asked them to buy it for themselves. The user explicitly recommends the product at the end, which further reinforces the positive sentiment. The tone is enthusiastic and encouraging, with no negative comments or criticisms.",bu ürünü araştırmalarım sonucu merak ederek aldım. çok beğendim. ve herkesten olumlu tepki aldım. en son olarak dün bir arkadaşım kendisi için de almamı istedi. ona da bu siteden aldım. tavsiye ediyorum.
Negative,Negative,Negative,Notr,"**-1** 

The tweet describes a negative situation where Michael took the money and left before the police arrived. This implies a sense of betrayal or loss. 
","-1
This tweet implies that Michael took the money and left when the police arrived, suggesting a negative sentiment of deceit or wrongdoing.","**-1**

The sentiment of this tweet is negative. The phrase ""Polis geldiğinde"" means ""when the police came"" and ""Michael parayı alıp gitmiştir"" means ""Michael took the money and left"". The combination of these phrases implies that Michael did something wrong, and the police intervened, which is a negative scenario. The tone is accusatory and implies that Michael is guilty of some wrongdoing.",Polis geldiğinde Michael parayı alıp gitmiştir .
Negative,Negative,Negative,Negative,"**-1** 

The tweet expresses negative sentiment. The user states that they did not see any effect from using the product (""pişiği"") on their newborn baby for 20 days and explicitly states they do not recommend it. 
","-1

The sentiment of the tweet is negative because the user expresses frustration that despite using a product for 20 days, they did not see any improvement in their newborn baby's diaper rash. They conclude by advising against using the product.","**-1**

The sentiment of this tweet is negative. The user expresses disappointment and frustration by saying they did not see any effect from a product they used, specifically a baby product, for 20 days. They explicitly state that they do not recommend the product, which clearly conveys their negative sentiment towards it. The use of the phrase ""geçirimedi"" (did not pass/has no effect) and ""tavsiye etmiyorum"" (do not recommend) further emphasizes the negative tone.","yenidoğan bebeğimdeki pişiği 20 gün kullanmamıza rağmen geçirmedi, hiçbir etki görmedik. tavsiye etmiyorum"
Positive,Positive,Positive,Positive,"**+1**

The tweet expresses enthusiasm for the movie ""Good Morning, Vietnam"" using positive emojis and phrases like ""çok güzel"" (very beautiful) and ""Sadece Robin Williamsın oyunculuğu için bile izlenir bu film"" (This film is worth watching for Robin Williams' acting alone). This suggests a positive sentiment towards the film. 
","+1 

This tweet is positive as the author is enthusiastic about recommending a colorful and beautiful movie to watch, suggesting that it is worth watching just for Robin Williams' performance. The use of emojis also adds to the overall positive tone of the tweet.","**+1**

The sentiment of this tweet is overwhelmingly positive. The use of the exclamation marks and the enthusiastic Turkeys, "":D"", convey a sense of excitement and happiness. The tweet also encourages others to watch the film, saying ""izleyin"" which is a direct command to watch, and emphasizes how great the film is by using superlatives such as ""çok renkli"" and ""çok güzel"". Additionally, the tweet specifically praises Robin Williams' acting, stating that the film is worth watching solely for his performance, which further reinforces the positive sentiment.", Güüüünaydın Vietnam :D Çok renkli çok güzel bir film izleyin derim.. :D Sadece Robin Williamsın oyunculuğu için bile izlenir bu film.. 
Positive,Positive,Positive,Positive,"**+1** 

The tweet expresses strong positive sentiment towards the film. The user praises the film, calling it ""enfes"" (meaning exquisite) and stating it ""makes you think about life"" and ""shows how valuable life is."" They also believe the film deserves a higher rating than 9.2, implying a very positive opinion. 
","+1 
This tweet expresses a positive sentiment towards the film, praising it for making the viewer think about the value of life. The user believes that the film deserves a higher rating and highly recommends it, giving it a perfect score.","**Score: +1**

The sentiment of this tweet is overwhelmingly positive. The user starts by expressing their opinion that the best film is the first one in the series, and that its rating of 9.2 is too low. They then specify that it should have been rated 9.9. The user goes on to praise the film, stating that it makes them think about the value of life and that it is an ""enfes"" (which means excellent or amazing) film. They conclude by urging others to watch it and give it a 10/10. The use of superlatives such as ""enfes"" and the emphasis on the film's impact on the user's perspective create a strongly positive sentiment."," her zaman söylerim en iyi film ilk seridir 9,2mi çok düşük 9,9 olmalıydı film kesinlikle inasnı düşündürüyor hayatın ne kadar değerli odluğunu bize söylüyor enfes bir film kesinlikle izleyin 10/10 "
Notr,Notr,Notr,Notr,"**0**

The tweet simply states a fact about the magazine continuing its publication without interruption. There is no indication of positive or negative sentiment. 
","0 

This tweet is neutral as it simply states a fact about a magazine continuing its publication without expressing any positive or negative emotions.","**0**

The sentiment of this tweet is neutral. The statement is a simple and objective fact, providing information about a magazine's continued publication without expressing any emotional tone or opinion.",Dergi aralıksız olarak yayın hayatını sürdürmektedir .
Notr,Notr,Notr,Notr,"**0** 

The tweet states a fact about a mosque being restored to its previous state, without expressing any opinion or emotion.  Therefore, the sentiment is neutral. 
","0 
This tweet appears to be neutral as it describes a situation without expressing a positive or negative opinion.","**0** (neutral)

The tweet seems to be a neutral statement, simply stating that a Mosque (cami) has been restored or refurbished to its original state, and is now being used by the local community (yeralı halk). There is no emotional language, criticism, or praise in the tweet, hence the neutral sentiment.",Halihazırda yerel halk tarafından eskisi gibi cami haline getirilmiştir .
Negative,Negative,Negative,Negative,"**-1**

This tweet expresses disappointment and dissatisfaction with a product. The user states they didn't see any effects, implying it didn't work for them. They also mention they were influenced by other reviews but ultimately weren't satisfied. 
","-1
The sentiment of the tweet is negative. The user did not see any effect after using the product and feels disappointed because they had high expectations based on reviews.","**-1**

The sentiment of the tweet is negative. The user expresses disappointment and frustration, stating that the product did not work for them (""hic görmedim""), and that they did not benefit from it (""yaramadı bana""). The user also compares their experience to others' opinions (""yorumlara göre""), implying that their expectations were not met. The tone is negative and critical, indicating a score of -1.",ben kullandım ve etkisi hic görmedim belki ciltle alakadır bilemem ama yaramadı bana bende yorumlara göre almıstım burdan beni tatmin etmedi..
Negative,Negative,Negative,Negative,"**-1**

The tweet expresses strong negative sentiment about the movie.  The words ""içi boş"" (empty) and ""rezil"" (disgraceful) clearly indicate disapproval.  The author also suggests that watching the film is a waste of time and intellect. 
","-1
The sentiment of the tweet is negative because the tweet expresses strong disapproval and disappointment towards a specific movie, describing it as empty and disgraceful.","**-1**

The sentiment of this tweet is strongly negative. The use of words such as "" içi boş"" (empty), ""rezil"" (worthless), and ""çalın"" (steal) convey a sense of disdain and frustration. The speaker is expressing their disappointment and disgust at having watched a film that was unimpressive and lacked intellectual value, and is also accusing the film of stealing their time and mental resources. The tone is aggressive and critical, with no neutral or positive comments.", Böylesi içi boş ve rezil bir filmi izleyip ne zamanınızdan çalın nede akıl ve fikrinizden... 
Negative,Negative,Negative,Negative,"**-1** 

The tweet expresses extreme dissatisfaction with the hotel. The user calls it ""rezalet"" (meaning terrible) and describes a negative experience with the food, rooms, linens, and bar. The only positive mention is the animation, but even that doesn't outweigh the overall negative sentiment.  
","-1
The sentiment of the tweet is negative as the author expresses disappointment and frustration with the hotel they stayed at. They mention that the food was poor, the rooms were dirty, and the bar was disappointing. Overall, they do not recommend the hotel to anyone and do not plan on staying there again.","**-1**

The sentiment of this tweet is negative. The user expresses disappointment and frustration with the hotel they stayed in, using words like ""rezalet"" (which is Turkish for ""filth"" or ""garbage"") to describe the condition of the rooms, bedding, and bar. They also mention that the only thing they liked was the animation, and they won't recommend this place to anyone, stating that it's not suitable for a romantic getaway or for couples. The tone is overwhelmingly critical and unhappy.",rezaletben hayatımda bu kadar rezalet bır otel görmedım  gun boyunca sadece makarna ve patates cıpsı yedım odalar rezalet çarşaflar çok kirlı bar rezalet içkiler sudan farksız sadece memnun kaldıgım şey anımasyon bırdaha hiç kalmayı düşunmuyorum sevgılıyle veya eşle tatıl yapılacak yer degıl kımseye tavsıye etmem
Notr,Negative,Notr,Positive,"**0**

The tweet expresses mixed feelings. The user is happy with the phone's features and battery life in normal usage, but disappointed with the battery life during gaming and unsure about the service quality. This ambiguity makes it difficult to definitively classify the sentiment as positive or negative. 
","-1
The sentiment of the tweet is negative. The user is complaining about the battery life of their device while playing games, stating that it only lasts for 4 hours, compared to the 1 day of normal usage. They express hope that the battery performance can improve if certain actions are taken. The mention of not knowing the service quality also adds to the overall negative tone of the tweet.","**0** (Neutral)

The sentiment of this tweet is neutral because the user is simply presenting a factual description of their experience with the product ( Oyun) without expressing a clear emotion or opinion. They mention the battery life and its usefulness in normal use, but also express uncertainty about the service quality. The tone is informative and objective, without any positive or negative emotional undertones. The user's recommendation to consider the product's features is also a neutral statement that doesn't convey strong emotional sentiment. Overall, the tweet's tone is matter-of-fact and objective.",oyun oynarken 4 saatte sarj bitiyor. normal kullanımda 1 günü geçiriyorum. pil de sonradan açılırsa çok güzel olacak. servis kalitesi durumunu bilmiyorum. özellikler açısından öneririm.
Notr,Notr,Positive,Positive,"**0** 

The tweet is neutral. It simply states that the shaving equipment is ideal for the price, without expressing any opinion or feeling. 
","0 
The sentiment of the tweet is neutral. It describes the hair trimmer set as being ideal for its price. No strong positive or negative emotion is expressed.","**Score: +1**

The sentiment of this tweet is positive. The word ""ideal"" has a strong positive connotation, implying that the speaker thinks the price is fair and reasonable. The use of the word ""tüm"" (which means ""all"" or ""entire"") also suggests that the speaker is highlighting the value of the entire package, rather than just individual components. Overall, the tweet expresses satisfaction and approval with the price.",tüm traş ekipmanı bir arada fiyatına göre ideal.
